ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Author-Processed,Book-Publisher-Processed,Book-Title-Processed,Book-Info,Book-Vector,Year-Of-Publication-Group,Year-Of-Publication-Group-Encoded
0671774662,The Outsider,Melinda Metz,1999.0,Simon Spotlight Entertainment,melinda metz,simon spotlight entertainment,outsider,The Outsider by Melinda Metz,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0425080021,Dune,Frank Herbert,1984.0,Berkley Publishing Group,frank herbert,berkley publishing group,dune,Dune by Frank Herbert,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
042511984X,The Face of Fear,Dean R. Koontz,1996.0,Berkley Publishing Group,dean r koontz,berkley publishing group,face fear,The Face of Fear by Dean R. Koontz,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0060393823,Lost,Gregory Maguire,2001.0,ReganBooks,gregory maguire,reganbooks,lost,Lost by Gregory Maguire,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0345349350,Get Off the Unicorn,Anne McCaffrey,1984.0,Del Rey Books,anne mccaffrey,del rey books,get unicorn,Get Off the Unicorn by Anne McCaffrey,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0061093998,Homebody : A Novel,Orson Scott Card,1999.0,HarperTorch,orson scott card,harpertorch,homebody novel,Homebody : A Novel by Orson Scott Card,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0812508645,Pastwatch: The Redemption of Christopher Columbus,Orson Scott Card,1997.0,Tor Books,orson scott card,tor books,pastwatch redemption christopher columbus,Pastwatch: The Redemption of Christopher Columbus by Orson Scott Card,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0671743058,Boy's Life,Robert McCammon,1992.0,Pocket,robert r mccammon,pocket,boy life,Boy's Life by Robert McCammon,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0812580346,Flashforward,Robert J. Sawyer,2000.0,Tor Science Fiction,robert j sawyer,tor science fiction,flashforward,Flashforward by Robert J. Sawyer,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0316235024,The Gift of Fear : Survival Signals That Protect Us from Violence,Gavin De Becker,1997.0,"Little, Brown",gavin de becker,little brown,gift fear survival signal protect u violence,The Gift of Fear : Survival Signals That Protect Us from Violence by Gavin De Becker,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0060952970,Ophelia Speaks : Adolescent Girls Write About Their Search for Self,Sara Shandler,1999.0,Perennial,sara shandler,perennial,ophelia speaks adolescent girl write search self,Ophelia Speaks : Adolescent Girls Write About Their Search for Self by Sara Shandler,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0743203631,Gap Creek: The Story Of A Marriage,Robert Morgan,2000.0,Touchstone,robert morgan,touchstone,gap creek story marriage,Gap Creek: The Story Of A Marriage by Robert Morgan,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
1567187072,A Kitchen Witch's Cookbook,Patricia Telesco,1998.0,Llewellyn Publications,patricia telesco,llewellyn publications,kitchen witch cookbook,A Kitchen Witch's Cookbook by Patricia Telesco,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0931432820,The Complete Book of Essential Oils and Aromatherapy,Valerie Ann Worwood,1991.0,New World Library,valerie ann worwood,new world library,complete book essential oil aromatherapy,The Complete Book of Essential Oils and Aromatherapy by Valerie Ann Worwood,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0671528068,GOD AND THE NEW PHYSICS,Paul Davies,1984.0,Simon & Schuster,paul davies,simon schuster,god new physic,GOD AND THE NEW PHYSICS by Paul Davies,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0060922583,Holographic Universe,Michael Talbot,1992.0,Perennial,michael talbot,perennial,holographic universe,Holographic Universe by Michael Talbot,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0140360468,Looking for Alibrandi,Melina Marchetta,1992.0,Puffin Books,melina marchetta,puffin books,looking alibrandi,Looking for Alibrandi by Melina Marchetta,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0140620842,Gulliver's Travels (Penguin Popular Classics),Jonathan Swift,1994.0,Penguin Books Ltd,jonathan swift,penguin books ltd,gulliver travel penguin popular classic,Gulliver's Travels (Penguin Popular Classics) by Jonathan Swift,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0553278002,The Icarus Agenda,Robert Ludlum,1989.0,Bantam Books,robert ludlum,bantam books,icarus agenda,The Icarus Agenda by Robert Ludlum,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
080411109X,The Hundred Secret Senses,Amy Tan,1996.0,Ivy Books,amy tan,ivy books,hundred secret sens,The Hundred Secret Senses by Amy Tan,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0425081818,The Talisman,Stephen King,1985.0,Berkley Publishing Group,stephen king,berkley publishing group,talisman,The Talisman by Stephen King,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0451206460,Hard Evidence,John Lescroart,2002.0,Signet Book,john t lescroart,signet books,hard evidence,Hard Evidence by John Lescroart,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0552999954,High Society,Ben Elton,2003.0,"Black Swan Books, Limited",ben elton,black swan books limited,high society,High Society by Ben Elton,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0140287248,To the Edge of the Sky,Anhua Gao,2001.0,"Penguin Books, Limited (UK)",anhua gao,penguin books limited uk,edge sky,To the Edge of the Sky by Anhua Gao,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0060652926,Mere Christianity,C. S. Lewis,2001.0,Harper SanFrancisco,c s lewis,harpersanfrancisco,mere christianity,Mere Christianity by C. S. Lewis,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0786865482,"Life Strategies: Doing What Works, Doing What Matters",Phillip C. McGraw,1999.0,Hyperion Press,phillip c mcgraw,hyperion press,life strategy work matter,"Life Strategies: Doing What Works, Doing What Matters by Phillip C. McGraw",[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0553089218,The Web,Jonathan Kellerman,1996.0,Bantam Dell Pub Group,jonathan kellerman,bantam dell pub group,web,The Web by Jonathan Kellerman,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0312983379,In Harm's Way: The Sinking of the Uss Indianapolis and the Extraordinary Story of Its Survivors,Doug Stanton,2002.0,St. Martin's Press,doug stanton,st martins press,harm way sinking us indianapolis extraordinary story survivor,In Harm's Way: The Sinking of the Uss Indianapolis and the Extraordinary Story of Its Survivors by Doug Stanton,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0330491970,Nip 'n' Tuck,Kathy Lette,2002.0,Pan Macmillan,kathy lette,pan macmillan,nip n tuck,Nip 'n' Tuck by Kathy Lette,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0590431366,Missing Since Monday,Ann M. Martin,1995.0,Scholastic,ann m martin,scholastic,missing since monday,Missing Since Monday by Ann M. Martin,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0448060043,Alice in Wonderland and Through the Looking Glass (Illustrated Junior Library),Charles Lutwidge Dodgson,1946.0,Grosset & Dunlap,charles lutwidge dodgson,grosset & dunlap,alice wonderland looking glass illustrated junior library,Alice in Wonderland and Through the Looking Glass (Illustrated Junior Library) by Charles Lutwidge Dodgson,[0. 0. 0. ... 0. 0. 0.],"(1939, 1949]",2
0553213172,Anne of the Island,Lucy Maud Montgomery,1983.0,Bantam Classics,lucy maud montgomery,bantam classics,anne island,Anne of the Island by Lucy Maud Montgomery,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0671722905,The TEMPEST,William Shakespeare,1994.0,Washington Square Press,william shakspeare,washington square press,tempest,The TEMPEST by William Shakespeare,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0397306938,A Little Princess,Frances Hodgson Burnett,1999.0,HarperCollins,francis hodgson burnett,harpercollins,little princess,A Little Princess by Frances Hodgson Burnett,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0060931418,Their Eyes Were Watching God,Zora Neale Hurston,1998.0,Perennial,zora neale hurston,perennial,eye watching god,Their Eyes Were Watching God by Zora Neale Hurston,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
051720679X,"Three Complete Novels: \A\"" Is for Alibi / \""B\"" Is for Burglar / \""C\"" Is for Corpse""",Sue Grafton,1999.0,Wings,sue grafton,wings,three complete novel alibi b burglar c corpse,"Three Complete Novels: \A\"" Is for Alibi / \""B\"" Is for Burglar / \""C\"" Is for Corpse"" by Sue Grafton",[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0679455884,Home Town,Tracy Kidder,1999.0,Random House,tracy kidder,random house p,home town,Home Town by Tracy Kidder,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0142000981,Coal: A Human History,Barbara Freese,2004.0,Penguin USA (Paper),barbara freese,penguin usa paper,coal human history,Coal: A Human History by Barbara Freese,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0310254752,The Case for Easter: Journalist Investigates the Evidence for the Resurrection,Lee Strobel,2004.0,Zondervan Publishing Company,lee strobel,zondervan publishing company,case easter journalist investigates evidence resurrection,The Case for Easter: Journalist Investigates the Evidence for the Resurrection by Lee Strobel,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
044990945X,A Walk Across France,Miles Morland,1994.0,Ballantine Books,miles morland,ballantine books,walk across france,A Walk Across France by Miles Morland,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0515136557,The Cat Who Brought Down the House,Lilian Jackson Braun,2004.0,Jove Books,lilian jackson braun,jove books,cat brought house,The Cat Who Brought Down the House by Lilian Jackson Braun,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0449204324,Blue Highways a Journey Into America,William Least Heat-Moon,1983.0,Ballantine Books,william least heat moon,ballantine books,blue highway journey america,Blue Highways a Journey Into America by William Least Heat-Moon,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
3257227264,Die HÃ?ÃÂ¤upter meiner Lieben.,Ingrid Noll,2000.0,Diogenes Verlag,ingrid noll,diogenes verlag ag,die h upter meiner lieben,Die HÃ?ÃÂ¤upter meiner Lieben. by Ingrid Noll,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
3442429552,Die Puppenspieler,Tanja Kinkel,1997.0,Goldmann Verlag,tanja kinkel,goldmann verlag,die puppenspieler,Die Puppenspieler by Tanja Kinkel,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
3492235816,Das Achte Gebot,Anne Holt,2002.0,Distribooks Inc,anne holt,distribooks inc,da achte gebot,Das Achte Gebot by Anne Holt,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
3596144868,Hannas Tochter,Mariann Fredriksson,1999.0,Fischer Taschenbuch Verlag,marianne fredriksson,fischer taschenbuch verlag gmbh,hannas tochter,Hannas Tochter by Mariann Fredriksson,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
3442447038,Wellenbrecher.,Minette Walters,2000.0,Goldmann,minette walters,goldmann,wellenbrecher,Wellenbrecher. by Minette Walters,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
3423201509,Die Weiss Lowin / Contemporary German Lit,Henning Mankell,2002.0,Distribooks,henning mankell,distribooks,die wei lowin contemporary german lit,Die Weiss Lowin / Contemporary German Lit by Henning Mankell,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0020198906,Joshua,Joseph F Girzone,1987.0,Macmillan,joseph girzone,macmillan,joshua,Joshua by Joseph F Girzone,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0451527569,The House of Mirth (Signet Classics (Paperback)),Edith Wharton,2000.0,New American Library,edith wharton,new american library,house mirth signet classic paperback,The House of Mirth (Signet Classics (Paperback)) by Edith Wharton,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0140089225,The Bone People,Keri Hulme,1986.0,Penguin Books,keri hulme,penguin books,bone people,The Bone People by Keri Hulme,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0679449787,Neanderthal,John Darnton,1996.0,Random House Inc,john darnton,random house inc,neanderthal,Neanderthal by John Darnton,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0385425473,Wild Swans: Three Daughters of China,JUNG CHANG,1992.0,Anchor,jung chang,anchor,wild swan three daughter china,Wild Swans: Three Daughters of China by JUNG CHANG,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0312959842,"Murder in Scorpio (St. Martin's Dead Letter Mysteries,)",Martha C. Lawrence,1996.0,St. Martin's Press,martha c lawrence,st martins press,murder scorpio st martin dead letter mystery,"Murder in Scorpio (St. Martin's Dead Letter Mysteries,) by Martha C. Lawrence",[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0061097152,Circles of Confusion : A Claire Montrose Mystery (Claire Montrose Mysteries (Paperback)),April Henry,1999.0,HarperTorch,april henry,harpertorch,circle confusion claire montrose mystery claire montrose mystery paperback,Circles of Confusion : A Claire Montrose Mystery (Claire Montrose Mysteries (Paperback)) by April Henry,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0743448642,Whispers and Lies,Joy Fielding,2003.0,Pocket Books,joy fielding,pocket books,whisper lie,Whispers and Lies by Joy Fielding,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0553801449,Incriminating Evidence,Sheldon Siegel,2001.0,Bantam Books,sheldon siegel,bantam books,incriminating evidence,Incriminating Evidence by Sheldon Siegel,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0679757899,"East, West : Stories",SALMAN RUSHDIE,1995.0,Vintage,salman rushdie,vintage,east west story,"East, West : Stories by SALMAN RUSHDIE",[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0385319525,The Pirate's Daughter: A Novel of Adventure,Robert Girardi,1997.0,Delta Trade Paperbacks,robert girardi,delta trade paperbacks,pirate daughter novel adventure,The Pirate's Daughter: A Novel of Adventure by Robert Girardi,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0821769367,The Night Before,Lisa Jackson,2003.0,Zebra Books,lisa jackson,zebra books,night,The Night Before by Lisa Jackson,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0812539265,Dream West (The American Story),David Nevin,2000.0,Forge Books,david nevin,forge books,dream west american story,Dream West (The American Story) by David Nevin,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0440221919,The Blood Countess: A Novel,Andrei Codrescu,1996.0,Dell,andrei codrescu,dell,blood countess novel,The Blood Countess: A Novel by Andrei Codrescu,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0399525777,Writing the Wave: Inspired Rides for Aspiring Writers,Elizabeth Ayers,2000.0,Perigee Books,elizabeth ayers,perigee books,writing wave inspired ride aspiring writer,Writing the Wave: Inspired Rides for Aspiring Writers by Elizabeth Ayers,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0316287555,Day of Confession,Allan Folsom,1998.0,"Little, Brown",allan folsom,little brown,day confession,Day of Confession by Allan Folsom,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0451458311,Out of Avalon: Tales of Old Magic and New Myths,Jennifer Roberson,2001.0,Roc,jennifer roberson,roc,avalon tale old magic new myth,Out of Avalon: Tales of Old Magic and New Myths by Jennifer Roberson,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
051512558X,The Overseer,Jonathan Rabb,1999.0,Jove Books,jonathan rabb,jove books,overseer,The Overseer by Jonathan Rabb,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0743211995,An Hour Before Daylight : Memoirs of a Rural Boyhood,Jimmy Carter,2001.0,Simon & Schuster,jimmy carter,simon schuster,hour daylight memoir rural boyhood,An Hour Before Daylight : Memoirs of a Rural Boyhood by Jimmy Carter,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0761530878,The Sims: Livin' Large: Prima's Official Strategy Guide,Rick Barba,2000.0,Prima Lifestyles,rick barba,prima lifestyles,sims livin large prima official strategy guide,The Sims: Livin' Large: Prima's Official Strategy Guide by Rick Barba,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0761537295,The Sims: Hot Date: Prima's Official Strategy Guide,David Chong,2001.0,Prima Lifestyles,david chong,prima lifestyles,sims hot date prima official strategy guide,The Sims: Hot Date: Prima's Official Strategy Guide by David Chong,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0515132136,The Jury,Steve Martini,2002.0,Jove Books,steve martini,jove books,jury,The Jury by Steve Martini,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0140431314,Jude the Obscure (English Library),Thomas Hardy,1998.0,Penguin USA (Paper),thomas hardy,penguin usa paper,jude obscure english library,Jude the Obscure (English Library) by Thomas Hardy,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0156005492,Under the Black Flag: The Romance and the Reality of Life among the Pirates,David Cordingly,1997.0,Harvest Books,david cordingly,harvest books,black flag romance reality life among pirate,Under the Black Flag: The Romance and the Reality of Life among the Pirates by David Cordingly,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0805059555,"\O\"" Is for Outlaw""",Sue Grafton,1999.0,Henry Holt & Company,sue grafton,henry holt & company inc,outlaw,"\O\"" Is for Outlaw"" by Sue Grafton",[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0805036504,N Is for Noose (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,1998.0,Henry Holt & Company,sue grafton,henry holt & company inc,n noose kinsey millhone mystery hardcover,N Is for Noose (Kinsey Millhone Mysteries (Hardcover)) by Sue Grafton,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0671024183,Morgan's Run,Colleen McCullough,2002.0,Pocket,colleen mccullough,pocket,morgan run,Morgan's Run by Colleen McCullough,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0373706863,"Water Baby (Family Man) (Harlequin Superromance, No 686)",Roz Denny Fox,1996.0,Harlequin,roz denny fox,harlequin,water baby family man harlequin superromance 686,"Water Baby (Family Man) (Harlequin Superromance, No 686) by Roz Denny Fox",[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0671690558,WITCH : WITCH,Christopher Pike,1990.0,Simon Pulse,christopher pike,simon pulse,witch witch,WITCH : WITCH by Christopher Pike,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0451173392,The Carbohydrate Addict's Diet: The Lifelong Solution to Yo-Yo Dieting,Rachael F. Heller,1999.0,Signet Book,rachael f heller,signet books,carbohydrate addict diet lifelong solution yo yo dieting,The Carbohydrate Addict's Diet: The Lifelong Solution to Yo-Yo Dieting by Rachael F. Heller,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0679434046,In the Kitchen With Rosie: Oprah's Favorite Recipes,Rosie Daley,1994.0,Alfred A. Knopf,rosie daley,alfred e knopf,kitchen rosie oprah favorite recipe,In the Kitchen With Rosie: Oprah's Favorite Recipes by Rosie Daley,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
1568846444,Gardening for Dummies,Michael MacCaskey,1996.0,John Wiley & Sons,michael maccaskey,john wiley & sons,gardening dummy,Gardening for Dummies by Michael MacCaskey,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
3442427983,Mein ist die Rache.,Elizabeth George,1994.0,Goldmann,elizabeth george,goldmann,mein ist die rache,Mein ist die Rache. by Elizabeth George,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0618124918,The Best American Mystery Stories 2001,Otto Penzler,2001.0,Houghton Mifflin,otto penzler,houghton mifflin co,best american mystery story 2001,The Best American Mystery Stories 2001 by Otto Penzler,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0380782332,Kiss an Angel,Susan Elizabeth Phillips,2002.0,Avon,susan elizabeth phillips,avon,kiss angel,Kiss an Angel by Susan Elizabeth Phillips,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0698116844,The Cat Ate My Gymsuit,Paula Danziger,1998.0,Penguin Putnam Books for Young Readers,paula danziger,penguin putnam books for young readers,cat ate gymsuit,The Cat Ate My Gymsuit by Paula Danziger,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0553278215,Pearl,John Steinbeck,1983.0,Bantam Doubleday Dell,john steinbeck,bantam doubleday dell,pearl,Pearl by John Steinbeck,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0743428625,Celeste (Gemini),V.C. Andrews,2004.0,Pocket Star,v c andrews,pocket star,celeste gemini,Celeste (Gemini) by V.C. Andrews,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0440213428,Who Killed My Daughter?,LOIS DUNCAN,1994.0,Laurel,lois duncan,laurel,killed daughter,Who Killed My Daughter? by LOIS DUNCAN,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0425177351,Bio-Strike (Tom Clancy's Power Plays (Paperback)),Jerome Preisler,2000.0,Berkley Publishing Group,jerome preisler,berkley publishing group,bio strike tom clancy power play paperback,Bio-Strike (Tom Clancy's Power Plays (Paperback)) by Jerome Preisler,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0312974256,Welcome to Temptation,Jennifer Crusie,2001.0,St. Martin's Paperbacks,jennifer crusie,st martins paperbacks,welcome temptation,Welcome to Temptation by Jennifer Crusie,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
1893010023,High Times Presents Paul Krassner's Pot Stories for the Soul,Paul Krassner,1999.0,High Times Press,paul krassner,high times press,high time present paul krassner pot story soul,High Times Presents Paul Krassner's Pot Stories for the Soul by Paul Krassner,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0141439556,Wuthering Heights (Penguin Classics),Emily Bronte,2003.0,Penguin Books,emily bronte,penguin books,wuthering height penguin classic,Wuthering Heights (Penguin Classics) by Emily Bronte,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0679425268,Sole Survivor,DEAN KOONTZ,1997.0,Knopf,dean r koontz,knopf,sole survivor,Sole Survivor by DEAN KOONTZ,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0446608815,Pop Goes the Weasel,James Patterson,2000.0,Warner Vision,james patterson,warner vision,pop go weasel,Pop Goes the Weasel by James Patterson,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0515128546,Tears of the Moon (Irish Trilogy),Nora Roberts,2000.0,Jove Books,nora roberts,jove books,tear moon irish trilogy,Tears of the Moon (Irish Trilogy) by Nora Roberts,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0440984696,Tiger Eyes,Judy Blume,1982.0,Laure Leaf,judy blume,laurel leaf,tiger eye,Tiger Eyes by Judy Blume,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0515114006,Private Scandals,Nora Roberts,1994.0,Jove Books,nora roberts,jove books,private scandal,Private Scandals by Nora Roberts,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0375401601,Vittorio the Vampire: New Tales of the Vampires,Anne Rice,1999.0,Alfred A. Knopf,anne rice,alfred e knopf,vittorio vampire new tale vampire,Vittorio the Vampire: New Tales of the Vampires by Anne Rice,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0140178406,Aunt Dimity's Death (Aunt Dimity (Paperback)),Nancy Atherton,1993.0,Penguin Books,nancy atherton,penguin books,aunt dimity death aunt dimity paperback,Aunt Dimity's Death (Aunt Dimity (Paperback)) by Nancy Atherton,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0399149392,Chesapeake Blue (Quinn Brothers (Hardcover)),Nora Roberts,2002.0,Putnam Publishing Group,nora roberts,putnam publishing group,chesapeake blue quinn brother hardcover,Chesapeake Blue (Quinn Brothers (Hardcover)) by Nora Roberts,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0312875681,Forests of the Heart (Newford),Charles de Lint,2001.0,Tor Books,charles de lint,tor books,forest heart newford,Forests of the Heart (Newford) by Charles de Lint,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0385413041,Beach Music,PAT CONROY,1995.0,Nan A. Talese,pat conroy,nan a talese,beach music,Beach Music by PAT CONROY,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0451523385,Wuthering Heights (Signet Classic),Emily Bronte,1993.0,Signet Book,emily bronte,signet books,wuthering height signet classic,Wuthering Heights (Signet Classic) by Emily Bronte,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0140440224,"The Canterbury Tales, in Modern English",Geoffrey Chaucer,2000.0,Penguin USA (Paper),geoffrey chaucer,penguin usa paper,canterbury tale modern english,"The Canterbury Tales, in Modern English by Geoffrey Chaucer",[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0380789590,Quicker than the Eye,Ray Bradbury,1997.0,Avon,ray bradbury,avon,quicker eye,Quicker than the Eye by Ray Bradbury,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0316769495,Franny and Zooey,J.D. Salinger,1991.0,"Little, Brown",j d salinger,little brown,franny zooey,Franny and Zooey by J.D. Salinger,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0670880728,Bridget Jones's Diary,Helen Fielding,1998.0,Viking Books,helen fielding,viking books,bridget jones diary,Bridget Jones's Diary by Helen Fielding,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0385472943,The Runaway Jury,JOHN GRISHAM,1996.0,Doubleday,john grisham,doubleday,runaway jury,The Runaway Jury by JOHN GRISHAM,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0679452354,Still Me,Christopher Reeve,1998.0,Random House Inc,christopher reeve,random house inc,still,Still Me by Christopher Reeve,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0142003727,Revenge of the Middle-Aged Woman,Elizabeth Buchan,2003.0,Penguin USA (Paper),elizabeth buchan,penguin usa paper,revenge middle aged woman,Revenge of the Middle-Aged Woman by Elizabeth Buchan,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
2264002190,Les amants maudits (10/18),Katia Granoff,1979.0,Union gÃÂ©nÃÂ©rale d'ÃÂ©ditions,katia granoff,union g  n  rale d  ditions,le amants maudits 10 18,Les amants maudits (10/18) by Katia Granoff,[0. 0. 0. ... 0. 0. 0.],"(1969, 1979]",5
0671047515,Hell's Kitchen,Jeffery Deaver,2001.0,Pocket,jeffrey deaver,pocket,hell kitchen,Hell's Kitchen by Jeffery Deaver,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0553581767,Manhattan Is My Beat,JEFFERY DEAVER,2000.0,Bantam,jeffrey deaver,bantam,manhattan beat,Manhattan Is My Beat by JEFFERY DEAVER,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
039308700X,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,1994.0,W. W. Norton & Company,vincent bugliosi,w w norton & company ltd,helter skelter true story manson murder,Helter Skelter: The True Story of the Manson Murders by Vincent Bugliosi,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0553801341,From the Corner of His Eye,Dean R. Koontz,2000.0,Bantam Books,dean r koontz,bantam books,corner eye,From the Corner of His Eye by Dean R. Koontz,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0671039725,Carrie,Stephen King,2002.0,Pocket,stephen king,pocket,carrie,Carrie by Stephen King,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
