ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0060391537,quiver life,robin quiver,1995.0,harpercollins
0156011042,east mountain vintage contemporary paperback,david guterson,2000.0,harvest book
0812566637,legend short novel master modern fantasy vol 1,robert silverberg,1999.0,tor book
0060391448,wicked life time wicked witch west,gregory maguire,1995.0,harpercollins
0684829975,vision emma blau,ursula hegi,2000.0,simon schuster
0451099648,firestarter signet book,stephen king,1981.0,new amer library mm
0671776975,river run story story,norman maclean,1992.0,pocket
0440967694,outsider,e hinton,1993.0,learning curve
0060801115,death proud memoir,john j gunther,1989.0,harper row
0425152251,sophie world novel history philosophy,jostein gaarder,1996.0,berkley publishing group
0312924585,silence lamb,thomas harris,1991.0,st martin press
0684718634,cry beloved country,alan paton,1990.0,simon schuster trade
0385479565,hot zone,richard preston,1995.0,anchor
0743421574,shanghai baby novel,wei hui,2002.0,washington square press
0140132708,midnight child,salman rushdie,1995.0,penguin book
0671578103,dragonne eg,mary brown,1999.0,baen
0756401364,long hot summoning keeper chronicle number 3,tanya huff,2003.0,daw book
0886779758,second summoning keeper chronicle 2,tanya huff,2001.0,daw book
1931561230,sleep toward heaven novel,amanda eyre ward,2003.0,macadam cage publishing
0060504072,small wonder essay,barbara kingsolver,2002.0,harpercollins
0345460952,salmon doubt,douglas adam,2003.0,ballantine book
0312274920,round ireland fridge,tony hawk,2001.0,st martin press
0440408903,remarkable journey prince jen,lloyd alexander,1993.0,yearling
038081658X,fresco,sheri tepper,2002.0,eos
0380791978,family tree,sheri tepper,1998.0,eos
0345409671,memnoch devil vampire chronicle 5,anne rice,1997.0,ballantine book
0380791986,six moon dance,sheri tepper,1999.0,eos
0886771544,lythande,marion zimmer bradley,1986.0,daw book
0312974485,samurai wife sano ichiro mystery,laura joh rowland,2001.0,st martin paperback
0312979584,black lotus sano ichiro mystery,laura joh rowland,2002.0,st martin paperback
0553380958,snow crash bantam spectrum book,neal stephenson,2000.0,bantam
0380731800,sky coyote novel company book 2,kage baker,2000.0,eos
0142300608,fire bringer,david clement davy,2002.0,puffin book
0380731797,garden iden novel company book 1,kage baker,1998.0,eos
0553583891,dream island medieval trilogy,josie litton,2002.0,bantam book
0684849739,bible code,michael drosnin,1998.0,touchstone
0312171838,bachelor brother bed breakfast,bill richardson,1997.0,st martin griffin
0688175716,strange true,john searles,2004.0,william morrow
0671042505,last chance cafe novel,linda lael miller,2002.0,atrium
0743205413,summer greek taverna memoir,tom stone,2002.0,simon schuster
0399147853,time chance,sharon kay penman,2002.0,putnam publishing group
0425162443,rapture canaan,sheri reynolds,1997.0,berkley publishing group
1400060052,lucia lucia novel,adriana trigiani,2003.0,random house p
0425183238,mr mike,benedict freedman,2002.0,berkley publishing group
0373711646,christmas angel harlequin superromance 1164,debbie macomber,2003.0,harlequin
0345423291,keep novel ballantine reader circle,elizabeth berg,1999.0,ballantine book
0515132020,heaven earth three sister island trilogy,nora robert,2003.0,jove book
0515131229,dance upon air three sister island trilogy,nora robert,2003.0,jove book
0446679364,future homemaker america,laurie graham,2002.0,warner book
0345445732,entering normal ballantine reader circle,anne leclaire,2002.0,ballantine book
0451410157,sweet nothing,catherine anderson,2002.0,onyx book
1570613818,book lust recommended reading every mood moment reason,nancy pearl,2003.0,sasquatch book
0385494149,enduring love,ian mcewan,1999.0,anchor book doubleday
0312199430,one thousand white woman journal may dodd novel,jim fergus,1999.0,st martin griffin
1570089957,rebekah woman genesis woman genesis 2,orson scott card,2001.0,shadow mountain
0452282101,debt america owes black,randall robinson,2001.0,plume book
8432210900,la aventura del tocador de senora,eduardo mendoza,2001.0,editorial seix barral
048627263X,flatland romance many dimension dover thrift edition,edwin abbott,1992.0,dover publication
0486270610,gift magi short story dover thrift edition,henry,1992.0,dover publication
0330330373,sculptress,minette walter,1995.0,macmillan pub ltd
0571135390,unbearable lightness,milan kundera,1985.0,faber faber inc
0451183746,road wellville,coraghessan boyle,1994.0,new amer library mm
038079487X,look like crazy ordinary day,pearl cleage,1998.0,perennial
0684872153,angela ash mmp memoir,frank mccourt,1999.0,scribner
0060926317,mutant message,marlo morgan,1995.0,perennial
0140622500,lady chatterley lover penguin popular classic,h lawrence,1997.0,penguin book ltd
0312421273,correction novel,jonathan franzen,2002.0,picador usa
0679454454,sick puppy,carl hiaasen,2000.0,alfred knopf
0778320294,mimosa grove mira,dinah mccall,2004.0,mira
1575668572,dragon lord daughter,bertrice small,2004.0,brava
0380811081,magic,lisa kleypas,2004.0,avon
0373285043,open arm silhouette single title,nora robert,2004.0,silhouette
0399147020,blood lure,nevada barr,2001.0,g p putnam son
0062512668,cube,annie gottlieb,1995.0,harpersanfrancisco
0440241162,nerd shining armor,vicki lewis thompson,2003.0,dell publishing company
0786866586,shopgirl novella,steve martini,2000.0,hyperion press
0061092029,marriage made heaven tired affair,erma bombeck,1994.0,harpertorch
3492045170,stupid white men eine abrechnung mit dem amerika unter george w bush,michael moore,2003.0,piper
0679756973,anthropologist mar seven paradoxical tale,oliver w sack,1996.0,vintage book usa
1570625190,tao physic,fritjof capra,2000.0,shambhala
0688156819,melancholy death oyster boy story,tim burton,1997.0,harperentertainment
0762403004,world shortest story murder love horror suspense much amazing short story ever written one 55 word long,steve moss,1998.0,running press book publisher
0679723226,double indemnity vintage crime black lizard,james cain,1989.0,vintage
0679722645,maltese falcon vintage crime black lizard,dashiell hammett,1989.0,vintage
0380732181,underachiever diary,benjamin anastas,1999.0,perennial
0156007754,blindness harvest book,jose saramago,1999.0,harvest book
0553371010,complete fairy tale brother grimm,jack zipes,1992.0,bantam
031205436X,generation x tale accelerated culture,douglas coupland,1992.0,st martin press
1573226521,beach,alex garland,1998.0,riverhead book
0671027638,fuck,arthur nersesian,1999.0,mtv
1573226882,fever pitch,nick hornby,1998.0,riverhead book
1573228214,high fidelity,nick hornby,2000.0,riverhead book
0316780812,sea glass novel,anita shreve,2002.0,little brown
0515119784,range motion,elizabeth berg,1996.0,jove book
0736909672,anne henke roxanne coming home brewster 1,roxanne henke,2002.0,harvest house publisher
0786011963,last know,wendy corsi staub,2001.0,pinnacle book
0811825558,worst case scenario survival handbook,joshua piven,1999.0,chronicle book
0380788691,secret history book ash 1 book ash,mary gentle,1999.0,eos
0515134449,laughing corpse anita blake vampire hunter paperback,laurell k hamilton,1994.0,jove book
0064407675,reptile room series unfortunate event book 2,lemony snicket,1999.0,harpercollins
0767902890,thing carried,tim brien,1998.0,broadway
0061092355,star trek memory,william shatner,1994.0,harpertorch
0380977788,coraline,neil gaiman,2002.0,harpercollins
0441304834,guilty pleasure anita blake vampire hunter paperback,laurell k hamilton,1995.0,ace book
0609805002,1 000 american year long journey personal,rochelle morton,2001.0,three river press ca
0393049272,body motion rest metaphor mortality,thomas lynch,2000.0,w w norton company
0684853205,mind cultural history penis,david friedman,2001.0,free press
8408043641,la sombra del viento shadow wind,carlos ruiz zafon,2003.0,planeta pub corp
0553571818,long midnight,iris johansen,1997.0,bantam
0441790348,stranger strange land remembering tomorrow,robert heinlein,1995.0,ace charter
0812550390,listener,christopher pike,1998.0,tor book mm
0345377494,box social,w p kinsella,1992.0,ballantine book
0060931809,map changed world william smith birth modern geology,simon winchester,2002.0,perennial
1566199697,metamorphosis story,franz kafka,1996.0,dorset press
0553573403,game throne song ice fire book 1,george r r martin,1997.0,spectrum book
0553579908,clash king song fire ice book 2,george r r martin,2000.0,spectrum book
1885211279,toilet paper road le traveled best travel humor misadventure traveler tale guide,doug lansky,1998.0,traveler tale guide
0553280147,till meet,judith krantz,1989.0,bantam book
0345391055,disclosure,michael crichton,1994.0,ballantine book
0312979479,none novel,agatha christie,2001.0,st martin paperback
0375760911,idiot girl action adventure club,laurie notaro,2002.0,villard book
0449244679,answer man,taylor caldwell,1982.0,ballantine book
068480087X,postcard,e annie proulx,1994.0,scribner
0743407067,first time,joy fielding,2001.0,pocket star
0515131083,plantation lowcountry tale,dorothea benton frank,2001.0,jove book
156955028X,really need know prayer learn poor,louise perrotta,1996.0,servant publication
0446679763,red hat society tm fun friendship fifty,sue ellen cooper,2004.0,warner book
0452274664,autobiography mother,jamaica kincaid,1997.0,plume book
1400032806,banner heaven story violent faith,jon krakauer,2004.0,anchor
0743243315,brick lane novel,monica ali,2004.0,scribner
0743407059,first time,joy fielding,2000.0,atrium
1400061598,art mending novel berg elizabeth,elizabeth berg,2004.0,random house p
0452283280,sister noon,karen joy fowler,2002.0,plume book
0743407083,grand avenue,joy fielding,2002.0,pocket star
0446532444,three week brother,micah spark,2004.0,warner book
0446533041,good grief novel,lolly winston,2004.0,warner book
0375413278,rapture,susan minot,2002.0,knopf
0743483014,irish girl town anthology short story,maeve binchy,2004.0,pocket
0380005239,go ask alice avon flare book,james jennings,1991.0,avon book
0064401774,scary story tell dark,alvin schwartz,1986.0,harpertrophy
0380732238,smack,melvin burgess,1999.0,harpertempest
1571740562,conversation god uncommon dialogue book 2,neale donald walsch,1997.0,hampton road publishing company
0399142789,conversation god uncommon dialogue book 1,neale donald walsch,1996.0,putnam publishing group
0375406530,waiting,ha jin,1999.0,pantheon book
006000438X,death vishnu novel,manil suri,2002.0,perennial
0375412557,death holy order adam dalgliesh mystery hardcover,p james,2001.0,knopf
0374129983,correction,jonathan franzen,2001.0,farrar straus giroux byr
067003178X,kitchen boy,robert alexander,2003.0,viking book
0688176992,finding fish memoir,antwone quenton fisher,2001.0,william morrow company
0394561619,love time cholera,gabriel garcia marquez,1988.0,knopf
0786866470,sister cleopatra moon,france park,2000.0,miramax
0385318782,talk sleep,elizabeth berg,1997.0,dell
0679437452,range motion,elizabeth berg,1995.0,random house inc
1931561648,time traveler wife today show book club 15,audrey niffenegger,2003.0,macadam cage publishing
0060517794,little altar everywhere,rebecca well,2003.0,harpertorch
0553296124,heir empire star war thrawn trilogy vol 1,timothy zahn,1998.0,bantam
0345413350,golden compass dark material book 1,philip pullman,1997.0,del rey
0380701340,creed third millennium,colleen mccullough,1986.0,avon
0679450041,amazing adventure kavalier clay novel,michael chabon,2000.0,random house p
0201050714,continuum concept search happiness lost classic human development,jean liedloff,1986.0,addison wesley publishing company
0140185011,travel aunt twentieth century classic,graham greene,1993.0,penguin book
0451146425,lie lion,ken follett,1986.0,new amer library mm
0877738513,art peace shambhala pocket classic,john stevens,1992.0,shambhala
0380817446,legend bagger vance,steven pressfield,2000.0,harpertorch
0345300203,outside man,richard north patterson,1995.0,ballantine book
0440154731,jailbird,kurt vonnegut,1992.0,dell publishing company
0553579835,matarese countdown,robert ludlum,1998.0,bantam book
0345379330,mostly harmless hitchhiker trilogy 5,douglas adam,1993.0,ballantine book
1576737330,prayer jabez breaking blessed life,bruce wilkinson,2000.0,multnomah
0590371258,dust apple signature edition,karen hesse,1999.0,scholastic u
1573227226,lamb god,marlene day,1999.0,riverhead book
0151446474,name rose,umberto eco,1983.0,harcourt
0670813028,,stephen king,1986.0,viking book
0451197410,stella got groove back,terry mcmillan,1998.0,signet book
0316601950,pilot wife novel,anita shreve,1999.0,back bay book
0399151435,death vienna,daniel silva,2004.0,putnam publishing group
0451210220,first law,john lescroart,2004.0,signet book
0399148515,english assassin,daniel silva,2002.0,g p putnam son
0445406518,crocodile sandbank,elizabeth peter,1988.0,warner book
0345406141,remain,harry turtledove,1998.0,del rey book
0061006629,fatherland,robert harris,1995.0,harpertorch
0553563696,hand chaos death gate novel volume 5 death gate cycle paperback,margaret wei,1993.0,bantam
0553286390,dragon wing death gate cycle book 1,margaret wei,1990.0,bantam
0345301293,blade runner,philip k dick,1982.0,del rey book
0671832174,bk dun cow,walter wangerin,1979.0,pocket
076534128X,rebekah woman genesis,orson scott card,2002.0,forge book
0345384687,gun south novel civil war,harry turtledove,1993.0,del rey book
0345353749,town like alice,nevil shute,1991.0,ballantine book
0385333498,siren titan,kurt vonnegut,1998.0,delta trade paperback
0345313151,bearing hourglass incarnation immortality paperback,pier anthony,1991.0,del rey book
0345314255,sword shannara,terry brook,1995.0,del rey book
0345305183,pale horse,pier anthony,1984.0,ballantine book
0380004933,man fell earth,walter tevis,1976.0,avon
0451132343,firestarter,stephen king,1984.0,signet book
0451131312,night shift child corn,stephen king,1984.0,signet book
0061031429,vendetta defense,lisa scottoline,2002.0,harpertorch
0060977337,downsize random threat unarmed american,michael moore,1997.0,perennial
0553380168,brief history time updated expanded tenth anniversary edition,stephen w hawking,1998.0,bantam
006098726X,stupid white men sorry excuse state nation,michael moore,2004.0,regan book
0671504398,le miserables enriched classic,victor hugo,1983.0,pocket
0553582925,tick tock,dean r koontz,2000.0,bantam book
0812545249,chronoliths,robert charles wilson,2002.0,tor book
0553572423,fist god,frederick forsyth,1995.0,bantam book
0525941673,cavedweller,dorothy allison,1998.0,dutton book
0812522400,lord isle lord isle,david drake,1998.0,tor fantasy
0671722948,twelfth night,william shakspeare,1993.0,washington square press
0140009930,day triffids,john wyndham,1984.0,penguin putnam mass
014027944X,armadillo,william boyd,1989.5,penguin putnam trade
0743220633,sun dog,monique roffey,2002.0,simon schuster trade division
0751514853,supping panther,tom holland,1997.0,time warner paperback
345386980X,der richter,john grisham,2003.0,heyne
0452283930,gossip hound,wendy holden,2003.0,plume book
0553382225,big bad wolf tell,donna kauffman,2003.0,bantam
1573227331,boy,nick hornby,1999.0,riverhead book
1565926730,user friendly,illiad,1999.0,reilly
080411918X,patchwork planet,anne tyler,2001.0,ballantine book
0553293176,dangerous,amanda quick,1993.0,bantam
0316812471,revolution within book self esteem,gloria steinem,1993.0,little brown
0440222915,outlander,diana gabaldon,1996.0,dell
1551668653,getting rid bradley,jennifer crusie,2001.0,mira
038079960X,mermaid singing,lisa carey,1999.0,avon
0440237300,three week paris,barbara taylor bradford,2002.0,dell
0066214122,prey novel,michael crichton,2002.0,harpercollins
0684803135,moral compass story life journey,william j bennett,1995.0,simon schuster
0312192339,incident twenty mile,trevanian,1998.0,st martin pr
0375507523,bushwhacked life george w bush america,molly ivins,2003.0,random house p
0140266909,please kill uncensored oral history punk,leg mcneil,1997.0,penguin book
0836221192,dilbert fugitive cubicle police,scott adam,1996.0,andrew mcmeel publishing
0446386405,live cat,stephen baker,1989.0,warner book
0446604275,primary color novel politics,anonymous,1996.0,warner book
0679741836,molly ivins say,molly ivins,1992.0,vintage book usa
034531798X,foundation foundation novel paperback,isaac asimov,1984.0,del rey book
0812968379,funny farsi memoir growing iranian america,firoozeh duma,2004.0,random house trade paperback
034545071X,distant shore,kristin hannah,2002.0,ballantine book
0451188470,love letter,cathleen schine,1996.0,signet book
006019541X,blue angel,francine prose,2000.0,harpercollins publisher
0375502238,blessing,anna quindlen,2002.0,random house p
0440202043,shell seeker,rosamunde pilcher,1996.0,dell
0312975228,boy water,stephen dobyns,2000.0,st martin paperback
0590452037,maniac magee,jerry spinelli,2002.0,scholastic inc
0451183665,case need,michael crichton,1994.0,signet book
0553111531,darkness peering,alice blanchard,1999.0,bantam dell pub group
0439137411,pokemon first movie mewtwo strike back pokemon movie,tracey west,1999.0,scholastic u
0380758377,without due process,j jance,1993.0,avon
0399150897,blow fly scarpetta novel,patricia cornwell,2003.0,putnam publishing group
0449911160,schmidt ballantine reader circle,louis begley,1997.0,ballantine book
0671868640,enchanted april,elizabeth von arnim,1993.0,pocket
0553247379,mother hunt rex stout library,rex stout,1993.0,bantam
0061043508,strong poison,dorothy l sayers,1995.0,harpertorch
0811828964,bad girl guide getting want,cameron tuttle,2000.0,chronicle book
0786890169,black water,jefferson parker,2003.0,hyperion
074322535X,gap creek story marriage,robert morgan,2001.0,touchstone
0399148728,fire ice novel numa file,clive cussler,2002.0,putnam publishing group
0312264372,robert ludlum hades factor ludlum robert covert one novel,robert ludlum,2000.0,st martin press
0684841185,death du jour,kathy reich,1999.0,scribner
0679463070,casual rex novel,eric garcia,2001.0,villard book
0399146687,perish twice,robert parker,2000.0,putnam publishing group
0316693286,pop go weasel,james patterson,1999.0,replica book
0684842106,terminal event novel,james thayer,1999.0,simon schuster
0439164842,eleanor crown jewel aquitaine france 1136 royal diary,kristiana gregory,2002.0,scholastic u
0373484887,hidden star star series,nora robert,2001.0,silhouette
0099521016,midnight garden good evil,john berendt,1999.0,vintage book
0060086246,last chance saloon,marian keyes,2003.0,perennial
0451180429,quiet game,greg iles,2000.0,signet book
0373250126,milkrun,sarah mlynowski,2001.0,harlequin
0373250193,loose screw red dress ink paperback,karen templeton,2002.0,red dress ink
0451410947,must love dog,claire cook,2003.0,onyx book
038550926X,devil wear prada novel,lauren weisberger,2003.0,doubleday
0061010707,men woman relationship,john gray,1996.0,harpercollins publisher
3499187809,der mann der seine frau mit einem hut verwechselte sachbuch,oliver w sack,1990.0,rowohlt tb
3442444020,denn sie betr gt man nicht,elizabeth george,1999.0,goldmann
3257229364,endstation venedig commissario brunettis zweiter fall,donna leon,1996.0,diogenes verlag ag
0552998001,blackberry wine,joanne harris,2001.0,black swan
3442439736,die schandmaske,minette walter,1998.0,goldmann
0671004530,street live,mary higgins clark,2002.0,pocket
325722575X,der hahn ist tot roman,ingrid noll,1993.0,diogenes verlag ag
3442413338,lauf jane lauf roman,joy fielding,1992.0,goldmann
3442435366,die tote ohne namen,patricia cornwell,1998.5,goldmann verlag
3499134411,stadtgeschichten band 1,armistead maupin,1994.0,rowholt verlag gmbh
0440226414,fortune hand,belva plain,2000.0,dell publishing company
0060959037,prodigal summer novel,barbara kingsolver,2001.0,perennial
055327886X,rubyfruit jungle,rita mae brown,1983.0,bantam book
0805036377,malice kinsey millhone mystery hardcover,sue grafton,1996.0,henry holt company
0688156134,stalker novel peter decker rina lazarus novel hardcover,faye kellerman,2000.0,william morrow company
014028009X,bridget jones diary,helen fielding,1999.0,penguin book
0140254587,salvation sand mountain snake handling redemption southern appalachia,dennis covington,1996.0,penguin book
0375708278,isaac storm man time deadliest hurricane history,erik larson,2000.0,vintage book usa
0425187063,death paradise,robert parker,2002.0,berkley publishing group
2070408507,le petit prince,antoine de saint exupery,1999.0,gallimard
2253054747,ne pleure pa belle,mary higgins clark,1990.0,lgf
0446361305,queen angel,greg bear,1991.0,warner book
3775713328,ernst luwig kirchner mountain life early year davos 1917 1926,ernst ludwig kirchner,2003.0,hatje cantz publisher
0451524063,four major play doll house wild duck hedda gabler master builder signet classic paperback,henrik ibsen,1989.0,signet book
031286504X,legend,richard matheson,1997.0,orb book
0028604032,new york public library science desk reference new york public library series,patricia barnes svarney,1995.0,macmillan publishing company
1573220256,ethic new millennium,dalai lama,1999.0,riverhead book
0886778964,valor choice daw book collector,tanya huff,2000.0,daw book
8495501112,son de mar,manuel vicent,2002.0,suma de letras
1852428112,sexual life catherine,catherine millet,2002.0,consortium book sale dist
0451457811,storm front dresden file book 1,jim butcher,2000.0,roc
0553342495,love medicine novel,louise erdrich,1985.0,bantam book
0374525641,spirit catch fall,anne fadiman,1998.0,farrar straus giroux byr
059043344X,ten great mystery edgar allan poe,edgar allan poe,1989.0,scholastic u
0874775132,drawing right side brain course enhancing creativity artistic confidence,betty edward,1989.0,putnam pub group
0375701311,martha peake novel revolution,patrick mcgrath,2002.0,vintage book usa
0312244266,winter solstice,rosamunde pilcher,2000.0,thomas dunne book
0786889098,tropical depression,laurence shame,1997.0,warner book mm
0446364290,prime time,sandra brown,1995.0,warner book
0446600342,smoke,sandra brown,1994.0,warner book
1551666014,tomorrow promise heart let go yesterday,sandra brown,2000.0,mira
0446356859,sunset embrace,sandra brown,1990.0,warner book
0446603082,sweet anger,sandra brown,1999.0,warner vision
0446360511,eloquent silence,sandra brown,1995.0,warner book
0446364312,tempest eden,sandra brown,1996.0,warner book
0446364150,hidden fire,sandra brown,1994.0,warner book
0446356875,another dawn,sandra brown,1991.0,warner book
0446360708,love beyond reason,sandra brown,1994.0,warner book
0452282829,mulvaneys,joyce carol oates,1996.0,plume
0452281091,chang eng novel,darin strauss,2001.0,plume book
0785268839,wild heart discovering secret man soul,john eldredge,2001.0,nelson book
0871135809,trouble world lighter side overpopulation famine ecological disaster ethnic hatred plague poverty,p j rourke,1994.0,pub group west
0449219143,bethlehem road,anne perry,1997.0,fawcett book
3499156938,boy sch ne und schreckliches au meiner kinderzeit,roald dahl,1986.0,rowohlt tb
347354034X,die welle,rhue,1998.0,ullstein taschenbuch verlag zweigniederlassung der ullstein buchverlage gmbh
034540761X,final judgment,richard north patterson,1997.0,ballantine book
0061057797,dragon unicorn,attanasio,1997.0,eos
0859696707,understanding personality,patricia hedge,1993.0,sheldon press
1844261085,book without cover,john andrew storey,2003.0,upfront publishing
0875420036,true magick beginner guide llewellyn new age series,k amber,1991.0,llewellyn publication
0141001828,heart sea tragedy whaleship essex,nat philbrick,2001.0,penguin book
8817131628,garzanti gli elefanti gabbiano jonathan livingston,bach,1998.0,rizzoli rcs libri
038078520X,wed buried bed breakfast mystery paperback,mary daheim,1998.0,avon
0312420021,cold case,philip gourevitch,2002.0,picador
0553293400,cave steel,isaac asimov,1991.0,bantam
0060929871,brave new world,aldous huxley,1998.0,perennial
0393312836,clockwork orange norton paperback fiction,anthony burgess,1986.0,w w norton company
0553211757,crime punishment crime punishment,fyodor dostoyevsky,1984.0,bantam
0060931914,demian story emil sinclair youth perennial classic,hermann hesse,1999.0,perennial
0393318680,filth,irvine welsh,1998.0,w w norton company
0590409433,fallen angel,walter dean myers,1991.0,scholastic paperback mm
0515093556,belinda,anne rice,1994.0,jove book
0399151850,queen south,arturo perez reverte,2004.0,putnam publishing group
0385722206,balzac little chinese seamstress novel,dai sijie,2002.0,anchor
0061095540,marrying mom,olivia goldsmith,1997.0,harpertorch
8817106259,seta,alessandro baricco,2001.5,rizzoli rcs libri
0679732411,gift sea,anne morrow lindbergh,1991.0,pantheon book
0446606243,tenth justice,brad meltzer,1998.0,warner book
0316785261,fig eater novel,jody shield,2001.0,back bay book
0140049975,east eden,john steinbeck,1984.0,penguin book
014062080X,scarlet letter penguin popular classic,nathaniel hawthorne,1994.0,penguin book ltd
0425174808,tom clancy op center divide conquer tom clancy op center paperback,tom clancy,2000.0,berkley publishing group
884590184X,siddharta romanzo versione di mila,hermann hesse,1997.5,adelphi book shop ltd
0140390847,moby dick whale penguin classic,herman melville,1992.0,penguin book
0451202856,nothing truth,john lescroart,2001.0,signet book
0767902912,equal music,vikram seth,1999.0,bantam dell pub group
039571091X,dakota spiritual geography,kathleen norris,1993.0,houghton mifflin co
0142001430,year wonder,geraldine brook,2002.0,penguin book
0609809547,tale female nomad living large world,rita golden gelman,2002.0,three river press ca
0440218667,select,paul wilson,1995.0,dell
0142000671,mouse men,john steinbeck,2002.0,penguin book
0425192792,goddess sea berkley sensation,p c cast,2003.0,berkley publishing group
0345463404,defiant hero,suzanne brockmann,2003.0,ivy book
0449006379,lord fire,gaelen foley,2002.0,ivy book
0312984820,night embrace dark hunter,sherrilyn kenyon,2003.0,st martin paperback
0380764008,grime punishment jane jeffry mystery paperback,jill churchill,1992.0,avon
0060549270,greek god lady club avon romance,jenna mcknight,2003.0,avon
0505525305,girl guide vampire,katie macalister,2003.0,love spell
0060505249,hero,lisa kleypas,2003.0,avon book
0425191257,edge moon berkley sensation,rebecca york,2003.0,berkley publishing group
0451458923,summer knight dresden file book 4,jim butcher,2002.0,roc
0553800914,search,iris johansen,2000.0,bantam book
080410526X,really need know,robert fulghum,1989.0,ivy book
031242227X,running scissors memoir,augusten burroughs,2003.0,picador usa
0553250256,catcher rye,salinger,1984.0,bantam book
0440241812,shopaholic take manhattan,sophie kinsella,2004.0,dell publishing
0767914767,devil wear prada novel,lauren weisberger,2004.0,broadway book
0140061401,july people,nadine gordimer,1982.0,penguin book
0679721037,hiroshima,john hersey,1989.0,vintage book usa
0142437204,jane eyre penguin classic,charlotte bronte,2003.0,penguin book
006093090X,night listener novel,armistead maupin,2001.0,perennial
038533494X,sometimes dream italian,rita ciresi,2001.0,delta
0553212524,20 000 league sea bantam classic,jules verne,1985.0,bantam
8432216062,el perfume historia de un asesino,patrick suskind,2003.0,editorial seix barral
0553574132,star war shadow empire,steve perry,1998.0,spectrum book
088029261X,complete sherlock holmes,arthur conan doyle,1991.0,barnes noble
0140270590,new song mitford year paperback,jan karon,2000.0,viking book
0440235596,tara road,maeve binchy,2000.0,dell publishing company
0671619373,lady bos,jackie collins,1990.0,simon schuster
8845249778,le ore,micheal cunningham,2003.0,distribooks inc
2070419657,soie,alessandro baricco,2001.0,gallimard
0943734150,peace pilgrim life work,peace pilgrim,1994.0,ocean tree book
0898861098,mile nowhere round world bicycle adventure,barbara savage,1985.0,mountaineer book
0679826718,tiger well sally lockhart trilogy book 3,philip pullman,1992.0,laurel leaf
0679733167,sexing cherry vintage international,jeanette winterson,1991.0,vintage book usa
0375504907,reading lolita tehran memoir book,azar nafisi,2003.0,random house p
0142000485,little blue dress,bruno maddox,2002.0,penguin book
061810450X,wind done gone novel,alice randall,2001.0,houghton mifflin co
014019536X,drawing moon witch druid goddess worshipper pagan america today,margot adler,1997.0,penguin book
0380816555,practical demonkeeping,christopher moore,2000.0,perennial
0684848066,meantime finding love want,iyanla vanzant,1999.0,fireside
0449211827,plague dog,richard adam,1986.0,fawcett
0441627404,future king,h white,1987.0,ace book
0553562738,doomsday book,connie willis,1993.0,spectrum book
0380708892,merlin pendragon cycle book 2,stephen r lawhead,1990.0,eos
038070613X,taliesin book one pendragon cycle pendragon cycle,stephen r lawhead,1990.0,avon
0380805421,smart v pretty,valerie frankel,2000.0,avon trade
0375708707,belonged,kent haruf,2000.0,vintage book
0802134475,rain,kirsty gunn,1996.0,grove press
0151003084,gashlycrumb tinies,edward gorey,1997.0,harcourt
0553274066,triumph darksword darksword trilogy,margaret wei,1997.0,spectrum
0340767278,soldier return uk,melvyn bragg,2000.5,trafalgar square
042516098X,hornet nest,patricia daniel cornwell,1998.0,berkley publishing group
0446613266,four blind mouse,james patterson,2003.0,warner book
038549081X,handmaid tale novel,margaret atwood,1998.0,anchor
0312267460,headlong bestselling backlist,michael frayn,2000.0,picador usa
0552998486,chocolat,joanne harris,2000.0,black swan
0099759713,rancid aluminum,james hawes,2000.5,trafalgar square
1853260193,vanity fair wordsworth collection,william makepeace thackeray,1998.0,ntc contemporary publishing company
1853260967,confession english opium eater,de quincey,1999.0,lb may assoc inc
0140440151,madame bovary classic,gustave flaubert,1970.0,penguin book ltd
0671041789,green mile,stephen king,1999.0,pocket
0439139597,harry potter goblet fire book 4,j k rowling,2000.0,scholastic u
0439064864,harry potter chamber secret book 2,j k rowling,1999.0,scholastic u
1575665379,10th kingdom hallmark entertainment book,kathryn wesley,2000.0,kensington publishing corporation
0441005489,redwall redwall book 1,brian jacques,1998.0,ace book
0064470059,lily bloom,bill cleaver,1989.0,harpertrophy
0380726297,sacred,dennis lehane,1998.0,harpertorch
0553292056,another roadside attraction,tom robbins,1991.0,bantam
0553213512,time machine bantam classic,h g well,1984.0,bantam
0060933577,faithless tale transgression,joyce carol oates,2002.0,ecco
044023672X,answered prayer,danielle steel,2003.0,dell
0394839129,read eye shut read beginner book,dr seuss,1978.0,random house childrens book
0440180295,slaughterhouse five child crusade duty dance death,kurt vonnegut,1991.0,laurel
0884270610,goal process ongoing improvement,eliyahu goldratt,1992.0,north river press
351836605X,stiller,max frisch,1954.0,suhrkamp
1573229083,dream,nuala faolain,2002.0,riverhead book
034540047X,hotel new hampshire,john irving,1995.0,ballantine book
0140255842,drinking rain,alix kates shulman,1996.0,penguin book
0380805995,kiss bee novel suspense,j jance,2001.0,avon
0449003795,p peril,sue grafton,2002.0,ballantine book
0060935464,kill mockingbird,harper lee,2002.0,perennial classic
0446322180,name rose nla,umberto eco,1984.0,warner book
1551668998,beach house,mary alice monroe,2002.0,mira
0515116173,decider,dick francis,1995.0,jove book
042516828X,sudden mischief,robert parker,1999.0,berkley publishing group
1853261092,black beauty wordsworth collection,sewell,1998.0,ntc contemporary publishing company
